country	iso_week	B.1.1.529	BA.1.1	BA.2	BA.2.10	BA.2.10.1	BA.2.12.1	BA.2.3.20	BA.2.75	BA.2.75.5	BA.4.1	BA.4.6	BA.4.6.1	BA.4.6.3	BA.5	BA.5.1	BA.5.1.18	BA.5.1.26	BA.5.1.27	BA.5.1.32	BA.5.1.5	BA.5.11	BA.5.2	BA.5.2.1	BA.5.2.13	BA.5.2.34	BA.5.2.35	BA.5.2.48	BA.5.2.49	BA.5.2.50	BA.5.2.54	BA.5.2.59	BA.5.2.6	BA.5.2.60	BA.5.2_no28330	BA.5.3	BA.5.3.1	BA.5.3.5	BE.1	BE.1.2	BE.1.2.1	BE.10	BE.13	BE.9	BE.9_alt	BF.11	BF.11.2	BF.26	BF.5	BF.7	BF.7.14	BF.7.14.1	BF.7.14.2	BF.7.14.3	BF.7.14.4	BF.7.14.5	BF.7.14.6	BF.7.14.7	BF.7.18	BF.7.21	BF.7.22	BF.7.4	BF.7.4.1	BK.1	BM.1.1	BM.1.1.1	BM.1.1.4	BN.1	BN.1.1	BN.1.1.1	BN.1.2	BN.1.2.3	BN.1.3	BN.1.3.1	BN.1.3.10	BN.1.3.3	BN.1.3.5	BN.1.3.6	BN.1.3.7	BN.1.3.9	BN.1.4	BN.1.4.2	BN.1.4.3	BN.1.5	BN.1.5.2	BN.1.7	BN.3.1	BQ.1	BQ.1.1	BQ.1.1.1	BQ.1.1.10	BQ.1.1.13	BQ.1.1.14	BQ.1.1.15	BQ.1.1.17	BQ.1.1.18	BQ.1.1.19	BQ.1.1.2	BQ.1.1.20	BQ.1.1.22	BQ.1.1.23	BQ.1.1.24	BQ.1.1.28	BQ.1.1.29	BQ.1.1.3	BQ.1.1.31	BQ.1.1.32	BQ.1.1.35	BQ.1.1.36	BQ.1.1.37	BQ.1.1.39	BQ.1.1.4	BQ.1.1.40	BQ.1.1.41	BQ.1.1.42	BQ.1.1.43	BQ.1.1.44	BQ.1.1.45	BQ.1.1.46_25406	BQ.1.1.47	BQ.1.1.48	BQ.1.1.5	BQ.1.1.51	BQ.1.1.52	BQ.1.1.53	BQ.1.1.54	BQ.1.1.56	BQ.1.1.57	BQ.1.1.58	BQ.1.1.59	BQ.1.1.6	BQ.1.1.61	BQ.1.1.63	BQ.1.1.65	BQ.1.1.66	BQ.1.1.67	BQ.1.1.68	BQ.1.1.69	BQ.1.1.71	BQ.1.1.72	BQ.1.1.74	BQ.1.1.8	BQ.1.10	BQ.1.10.1	BQ.1.10.2	BQ.1.10.3	BQ.1.11	BQ.1.12	BQ.1.13	BQ.1.13.1	BQ.1.14	BQ.1.15	BQ.1.15.1	BQ.1.16	BQ.1.18	BQ.1.2	BQ.1.21	BQ.1.22	BQ.1.23	BQ.1.25	BQ.1.25.1	BQ.1.26	BQ.1.28	BQ.1.3	BQ.1.31	BQ.1.32	BQ.1.5	BQ.1.6	BQ.1.8	BQ.1.8.2	BQ.1.9	BQ.1_17039	BR.2	BR.2.1	BU.1	BW.1.1	BW.1.1.1	BW.1.1.2	BY.1	CA.3.1	CA.7	CG.1	CH.1.1	CH.1.1.1	CH.1.1.10	CH.1.1.11	CH.1.1.12	CH.1.1.13	CH.1.1.14	CH.1.1.15	CH.1.1.16	CH.1.1.17	CH.1.1.18	CH.1.1.19	CH.1.1.2	CH.1.1.20	CH.1.1.21	CH.1.1.23	CH.1.1.3	CH.1.1.5	CH.1.1.6	CH.1.1.7	CH.1.1.8	CH.1.1.9	CJ.1.2	CJ.1.3	CK.1	CK.2.1	CL.1	CM.10	CM.2.1	CM.8.1	CP.1	CQ.2	CR.1	CR.1.1	CV.1	CZ.2	DB.1	DF.1.1	DJ.1.1.1	DN.1	DN.1.1	DN.1.1.2	DN.1.1.3	DN.1.1.4	DR.1	DR.2	DS.1	DS.2	DT.1	DT.2	DT.3	DU.1	DV.1	DV.1.1	DV.2	DV.3	DV.3.1	DV.5	DY.1	DY.1.1	DY.2	DY.3	DY.4	DZ.1	DZ.2	EA.1	EC.1	EC.1.1	ED.3	EE.2	EE.3	EE.4	EF.1	EF.1.1	EF.1.1.1	EF.1.2	EF.2	EG.1	EG.1.1	EG.2	EH.1	EJ.2	EK.2	EK.2.1	EK.3	EL.1	EM.1	EN.1	EP.1	ER.1	ER.1.1	ES.1	ET.1	EU.1	EU.1.1	EV.1	EW.2	EY.1	EZ.1	FA.1	FB.1	FB.2	FD.1	FD.1.1	FD.2	FE.1	FF.1	FG.1	FG.2	FG.3	FH.1	FJ.1	FK.1	FK.1.1	FL.1	FL.2	FM.1	FN.1	XAY.1.1	XAY.1.1.1	XBB	XBB.1	XBB.1.1	XBB.1.10	XBB.1.11.1	XBB.1.12	XBB.1.13	XBB.1.14	XBB.1.15	XBB.1.16	XBB.1.16.1	XBB.1.17.1	XBB.1.18.1	XBB.1.19	XBB.1.19.1	XBB.1.21	XBB.1.22	XBB.1.22.1	XBB.1.22.2	XBB.1.24	XBB.1.28.1	XBB.1.30	XBB.1.4	XBB.1.4.1	XBB.1.5	XBB.1.5.1	XBB.1.5.10	XBB.1.5.11	XBB.1.5.12	XBB.1.5.13	XBB.1.5.14	XBB.1.5.15	XBB.1.5.16	XBB.1.5.17	XBB.1.5.18	XBB.1.5.19	XBB.1.5.2	XBB.1.5.20	XBB.1.5.21	XBB.1.5.22	XBB.1.5.23	XBB.1.5.24	XBB.1.5.25	XBB.1.5.26	XBB.1.5.27	XBB.1.5.28	XBB.1.5.29	XBB.1.5.3	XBB.1.5.30	XBB.1.5.31	XBB.1.5.32	XBB.1.5.33	XBB.1.5.34	XBB.1.5.35	XBB.1.5.36	XBB.1.5.37	XBB.1.5.38	XBB.1.5.39	XBB.1.5.4	XBB.1.5.40	XBB.1.5.5	XBB.1.5.6	XBB.1.5.7	XBB.1.5.8	XBB.1.5.9	XBB.1.7	XBB.1.9	XBB.1.9.1	XBB.1.9.2	XBB.1.9.3	XBB.1.9.5	XBB.2	XBB.2.2	XBB.2.3	XBB.2.3.1	XBB.2.3.2	XBB.2.3.3	XBB.2.3.4	XBB.2.3.5	XBB.2.4	XBB.2.5	XBB.2.6	XBB.2.7.1	XBB.3	XBB.4	XBB.6	XBB.6.1	XBC.1.2.1	XBC.1.6	XBF	XBF.1.1	XBF.2	XBF.3	XBF.4	XBF.5	XBF.7	XBF.7.1	XBF.9	XBK	XBK.1	XBL	XBP	XBQ	XBR	XBS	XBT	XBU	XCA	miscBA2BA1PostSpike
Brazil	2023W12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	2023W13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	2023W14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	2023W15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	49	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	7	1	0	9	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	4	51	22	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	62	18	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	16	3	1	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	5	133	22	77	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	76	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	189	20	3	0	14	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	5	172	23	61	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	60	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	20	2	1	2	9	5	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	9	0	0	0	1	4	0	3	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4	133	20	42	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	12	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	21	2	1	13	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	2	105	15	29	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	15	14	0	0	0	1	0	0	4	0	0	0	0	0	0	17	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	5	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	11	1	2	3	9	1	6	1	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	65	3	23	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	15	4	5	0	0	1	0	3	3	2	0	0	0	0	0	24	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
China	2023W15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	39	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
England	2023W09	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	10	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	3	62	0	0	0	1	0	0	1	1	6	0	2	1	5	0	1	1	3	1	0	0	0	1	1	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	5	3	2	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	1	0	0	0	4	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	124	209	3	6	0	0	8	3	5	0	1	16	34	2	0	5	0	3	26	2	4	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7	0	3	2	0	0	0	0	0	0	0	30	0	30	1	11	0	8	1	0	0	0	0	0	0	6	1	1	0	0	0	0	7	3	5	0	6	9	0	0	1	0	0	0	3	0	35	0	0	2	4	0	3	0	0	3	0	0	0	0	0	2	10	0	0	0	1	0	0	1	2	9	2	0	1	6	5	2	0	0	0	14	0	0	0	0	3	0	0	6	2	25	3	0	0	0	3	6	1	0	0	0	0	0	737	1	0	1	3	28	3	11	23	1	94	4	0	30	1	0	10	19	1	0	0	0	0	0	8	7	7	4	0	0	1	3	0	3	12	0	3	1	133	0	0	0	5	305	27	0	1	1	0	11	8	0	0	0	0	2	0	0	0	1	0	0	0	0	0	18	4	0	2	10	0	2	3	1	2	0	0	0	6	0	1	0	0	2	0
